Index,Week,Customer,SalonType,Market,Product,Qty,Money
0,13,Roberts-Trantow,Upscale,Small,Conditioner,28,1680
1,13,Roberts-Trantow,Upscale,Small,Mousse,19,665
2,13,Roberts-Trantow,Upscale,Small,Dry,78,3120
3,13,Zulauf-Kilback,Suite,Major,Conditioner,179,10740
4,13,Zulauf-Kilback,Suite,Major,Mousse,146,5110
5,13,Zulauf-Kilback,Suite,Major,Shampoo,243,12150
6,13,"Parisian, Glover and Schumm",Importance,Mid,Conditioner,10,600
7,13,"Parisian, Glover and Schumm",Importance,Mid,Shampoo,83,4150
8,13,"Parisian, Glover and Schumm",Importance,Mid,Gel,41,1230
9,13,Nader Inc,Retail,Small,Conditioner,28,1680
10,13,Nader Inc,Retail,Small,Gel,118,3540
11,13,Nader Inc,Retail,Small,Shampoo,8,400
12,13,Kemmer LLC,Scholar,Major,Shampoo,75,3750
13,13,Kemmer LLC,Scholar,Major,Mousse,551,19285
14,13,Kemmer LLC,Scholar,Major,Conditioner,51,3060
15,13,Friesen-Miller,Upscale,Mid,Conditioner,80,4800
16,13,Friesen-Miller,Upscale,Mid,Dry,133,5320
17,13,Friesen-Miller,Upscale,Mid,Mousse,46,1610
18,13,Crist-Langosh,Suite,Small,Mousse,22,770
19,13,Crist-Langosh,Suite,Small,Shampoo,56,2800
20,13,Crist-Langosh,Suite,Small,Conditioner,36,2160
21,13,"Grant, Schneider and Steuber",Importance,Major,Conditioner,36,2160
22,13,"Grant, Schneider and Steuber",Importance,Major,Dry,390,15600
23,13,"Grant, Schneider and Steuber",Importance,Major,Shampoo,283,14150
24,13,"Brown, Bosco and Kshlerin",Retail,Mid,Gel,206,6180
25,13,"Brown, Bosco and Kshlerin",Retail,Mid,Shampoo,18,900
26,13,"Brown, Bosco and Kshlerin",Retail,Mid,Dry,30,1200
27,13,Jenkins-Johnson,Scholar,Small,Dry,74,2960
28,13,Jenkins-Johnson,Scholar,Small,Gel,100,3000
29,13,Jenkins-Johnson,Scholar,Small,Conditioner,8,480
30,13,"Effertz, West and Runte",Upscale,Major,Conditioner,183,10980
31,13,"Effertz, West and Runte",Upscale,Major,Dry,436,17440
32,13,"Effertz, West and Runte",Upscale,Major,Mousse,129,4515
33,13,"Schuster, Senger and Boyle",Suite,Mid,Mousse,51,1785
34,13,"Schuster, Senger and Boyle",Suite,Mid,Conditioner,77,4620
35,13,"Schuster, Senger and Boyle",Suite,Mid,Shampoo,106,5300
