Index,Week,Customer,Product,Qty,Money
0,13,Jewess PLC,Mousse,115,4025
1,13,Jewess PLC,Gel,160,4800
2,13,Jewess PLC,Conditioner,199,11940
3,13,Reynolds-Ortiz,Gel,199,5970
4,13,Reynolds-Ortiz,Shampoo,18,900
5,13,Reynolds-Ortiz,Dry,41,1640
6,13,"Franecki, Osinski and Ferry",Shampoo,67,3350
7,13,"Franecki, Osinski and Ferry",Gel,647,19410
8,13,"Franecki, Osinski and Ferry",Conditioner,181,10860
9,13,Purdy-Tillman,Shampoo,53,2650
10,13,Purdy-Tillman,Dry,61,2440
11,13,Purdy-Tillman,Gel,27,810
12,13,Haag-Sanford,Shampoo,27,1350
13,13,Haag-Sanford,Conditioner,12,720
14,13,Haag-Sanford,Dry,129,5160
15,13,McDermott Ltd,Dry,73,2920
16,13,McDermott Ltd,Conditioner,11,660
17,13,McDermott Ltd,Shampoo,36,1800
18,13,Howell-Champlin,Mousse,538,18830
19,13,Howell-Champlin,Gel,140,4200
20,13,Howell-Champlin,Conditioner,44,2640
21,13,Schmitt-Legros,Dry,150,6000
22,13,Schmitt-Legros,Gel,45,1350
23,13,Schmitt-Legros,Mousse,34,1190
24,13,"Zboncak, Labadie and West",Gel,26,780
25,13,"Zboncak, Labadie and West",Mousse,19,665
26,13,"Zboncak, Labadie and West",Shampoo,40,2000
27,13,Dach-White,Dry,118,4720
28,13,Dach-White,Conditioner,23,1380
29,13,Dach-White,Gel,53,1590
30,13,Lueilwitz and Sons,Conditioner,12,720
31,13,Lueilwitz and Sons,Gel,193,5790
32,13,Lueilwitz and Sons,Dry,125,5000
33,13,Jacobi PLC,Mousse,100,3500
34,13,Jacobi PLC,Conditioner,40,2400
35,13,Jacobi PLC,Shampoo,15,750
36,13,"Ruecker, Bashirian and Moen",Conditioner,31,1860
37,13,"Ruecker, Bashirian and Moen",Gel,86,2580
38,13,"Ruecker, Bashirian and Moen",Shampoo,48,2400
39,13,Bayer Inc,Mousse,518,18130
40,13,Bayer Inc,Shampoo,253,12650
41,13,Bayer Inc,Conditioner,47,2820
42,13,"Johnston, Feeney and Collier",Mousse,51,1785
43,13,"Johnston, Feeney and Collier",Gel,46,1380
44,13,"Johnston, Feeney and Collier",Dry,146,5840
45,13,Simonis Ltd,Mousse,23,805
46,13,Simonis Ltd,Conditioner,28,1680
47,13,Simonis Ltd,Shampoo,45,2250
48,13,Schowalter-Dooley,Conditioner,5,300
49,13,Schowalter-Dooley,Mousse,83,2905
50,13,Schowalter-Dooley,Dry,57,2280
51,13,Fritsch Inc,Shampoo,67,3350
52,13,Fritsch Inc,Dry,380,15200
53,13,Fritsch Inc,Gel,584,17520
54,13,Howe-Koepp,Gel,147,4410
55,13,Howe-Koepp,Conditioner,43,2580
56,13,Howe-Koepp,Mousse,569,19915
57,13,Little LLC,Shampoo,100,5000
58,13,Little LLC,Dry,46,1840
59,13,Little LLC,Gel,219,6570
60,13,"Gislason, Kuhic and Leffler",Shampoo,77,3850
61,13,"Gislason, Kuhic and Leffler",Mousse,541,18935
62,13,"Gislason, Kuhic and Leffler",Conditioner,176,10560
63,13,Ortiz-McGlynn,Dry,139,5560
64,13,Ortiz-McGlynn,Mousse,170,5950
65,13,Ortiz-McGlynn,Conditioner,18,1080
66,13,Kuhic-Barton,Shampoo,289,14450
